ISO,country,unicef_region,income_group,stunting_national,wasting_national,overweight_national,female_married_by_15,female_married_by_18,marriage_gap_18,literacy_f,completion_primary_f,oos_upsec_f,wat_bas_nat,san_bas_nat,hyg_bas_nat,diarrhoea_care_pct,pneumonia_care_pct
STP,Sao Tome and Principe,WCA,Lower Middle Income,11.7,4.1,4.5,5.0,28.0,25.0,96.35088,85.6,17.76,,75.82,,52.0,82.4
SUR,Suriname,LAC,Upper Middle Income,8.3,5.5,3.5,9.0,36.0,16.0,97.25966,89.9,33.46942,,,,61.0,89.1
SWZ,Eswatini,ESA,Lower Middle Income,20.0,1.8,9.8,0.0,2.0,2.0,94.74849,67.5,29.57662,,,,42.5,59.6
SYC,Seychelles,ESA,High Income,7.9,4.3,10.2,,,,99.38308,,3.62832,99.5,99.5,99.5,,
SYR,Syrian Arab Republic,MENA,Low Income,27.9,11.5,17.9,3.0,13.0,,,,67.14821,84.66,86.84,,9.7,77.0
TCA,Turks and Caicos Islands,LAC,High Income,4.6,1.2,18.2,0.0,23.0,18.0,,,,98.71,98.71,98.71,,
TCD,Chad,WCA,Low Income,31.9,7.8,2.2,24.0,61.0,53.0,22.38715,23.8,87.75322,30.38,19.38,9.82,22.9,17.6
TGO,Togo,WCA,Low Income,23.8,5.7,1.5,6.0,25.0,22.0,78.37085,58.9,65.96714,65.38,16.82,17.0,28.0,39.0
THA,Thailand,EAP,Upper Middle Income,12.4,7.2,10.9,6.0,17.0,11.0,98.29299,97.80450011203884,21.00417,99.5,99.5,99.5,70.7,79.5
TJK,Tajikistan,EECA,Lower Middle Income,13.7,6.4,4.6,0.0,9.0,,99.9,97.84585186197732,,,,,63.9,68.5
TKM,Turkmenistan,EECA,Upper Middle Income,7.2,4.1,3.1,0.0,6.0,,99.9,99.7,,99.5,99.5,99.5,51.4,51.0
TLS,Timor-Leste,EAP,Lower Middle Income,46.7,8.3,1.3,3.0,15.0,14.0,78.56844,84.82213665242767,25.92439,70.28,,65.72,65.0,70.3
TON,Tonga,EAP,Upper Middle Income,2.2,1.1,11.2,0.0,10.0,7.0,99.51043,,37.99815,95.03,95.52,83.59,,
TTO,Trinidad and Tobago,LAC,High Income,9.2,6.4,11.4,1.0,4.0,,99.6,,,,,,25.2,74.0
TUN,Tunisia,MENA,Lower Middle Income,8.4,2.1,17.2,0.0,2.0,2.0,95.80119,96.5,,,,,41.6,99.1
TUR,Türkiye,EECA,Upper Middle Income,6.0,1.7,8.1,2.0,15.0,,99.37155,97.9,16.45536,99.5,99.5,99.5,,45.0
TUV,Tuvalu,EAP,Upper Middle Income,5.7,2.8,4.2,0.0,2.0,0.0,,,46.40288,76.55,85.76,96.05,55.2,
TZA,United Republic of Tanzania,ESA,Lower Middle Income,30.0,3.1,3.6,5.0,29.0,25.0,84.6408,83.5,88.3636,,44.4,15.03,43.1,52.3
UGA,Uganda,ESA,Low Income,24.4,3.2,3.4,7.0,34.0,28.0,81.6542,36.2,,54.77,74.75,38.55,69.4,71.3
UKR,Ukraine,EECA,Upper Middle Income,22.9,8.2,26.5,0.0,9.0,5.0,99.98272,99.3,3.64654,91.18,,81.72,5.3,92.3
URY,Uruguay,LAC,High Income,6.9,1.4,11.4,1.0,25.0,,99.31699,95.4,16.21137,67.49,97.0,99.5,,91.1
USA,United States,NA ,High Income,3.4,0.1,9.4,,,,,,6.27499,99.5,99.5,99.5,,
UZB,Uzbekistan,EECA,Lower Middle Income,6.5,2.4,4.5,0.0,3.0,2.0,100.0,,16.82546,70.01,79.74,91.6,59.0,67.7
VEN,Venezuela (Bolivarian Republic of),LAC,,13.4,4.1,6.4,,,,99.09258,,23.57197,,,,8.8,72.0
VNM,Viet Nam,EAP,Lower Middle Income,18.2,4.4,9.4,1.0,15.0,13.0,,97.0,,67.79,93.35,71.93,5.0,72.6
VUT,Vanuatu,EAP,Lower Middle Income,28.9,4.7,4.9,5.0,21.0,13.0,95.6,,45.80214,,,,35.1,75.9
WSM,Samoa,EAP,Lower Middle Income,7.3,3.1,8.7,1.0,7.0,5.0,99.45804,,14.59826,99.5,99.5,78.0,57.4,72.4
YEM,Yemen,MENA,Low Income,48.5,16.8,1.5,7.0,30.0,,,54.8,68.04319,,,,22.7,35.0
ZAF,South Africa,ESA,Upper Middle Income,21.3,3.6,11.8,1.0,4.0,3.0,99.22904,97.92231889402125,19.48515,,,,63.0,65.7
ZMB,Zambia,ESA,Lower Middle Income,34.6,4.2,5.2,5.0,29.0,26.0,86.50945,75.4,,79.07,,96.85,69.5,75.2
ZWE,Zimbabwe,ESA,Lower Middle Income,25.9,5.1,4.3,5.0,34.0,32.0,93.18835,89.0,54.97931,69.86,93.92,76.64,35.2,48.0
