ISO,country,unicef_region,income_group,data_year,overweight_national,overweight_national_ll,overweight_national_ul,overweight_male,overweight_female,overweight_urban,overweight_rural,overweight_Q1_poorest,overweight_Q2,overweight_Q3,overweight_Q4,overweight_Q5_richest,overweight_gender_gap,overweight_wealth_gap,overweight_urban_rural_gap
TTO,Trinidad and Tobago,LAC,High Income,2011.0,11.4,9.3,13.9,13.0,9.8,11.7,11.0,10.0,9.2,13.2,13.8,11.4,3.1999999999999993,-1.4000000000000004,-0.6999999999999993
TUN,Tunisia,MENA,Lower Middle Income,2018.0,17.2,15.5,19.0,18.0,16.5,19.4,13.4,13.1,14.1,17.9,20.5,20.8,1.5,-7.700000000000001,-5.999999999999998
TKM,Turkmenistan,EECA,Upper Middle Income,2019.0,3.1,2.5,3.8,3.7,2.4,2.4,3.5,4.5,3.0,3.3,2.1,2.2,1.3000000000000003,2.3,1.1
TCA,Turks and Caicos Islands,LAC,High Income,2020.0,18.2,12.8,25.2,14.5,21.2,18.2,15.4,19.9,19.1,16.4,17.7,16.5,-6.699999999999999,3.3999999999999986,-2.799999999999999
TUV,Tuvalu,EAP,Upper Middle Income,2019.0,4.2,2.6,6.7,4.8,3.6,4.5,3.7,1.9,4.2,4.2,5.9,5.0,1.1999999999999997,-3.1,-0.7999999999999998
TUR,Türkiye,EECA,Upper Middle Income,2018.0,8.1,6.7,9.7,9.3,6.8,8.8,6.0,6.8,7.9,7.7,9.2,9.4,2.500000000000001,-2.6000000000000005,-2.8000000000000007
UGA,Uganda,ESA,Low Income,2022.0,3.4,,,3.6,3.2,,,,,,,,0.3999999999999999,,
UKR,Ukraine,EECA,Upper Middle Income,2000.0,26.5,25.1,27.9,27.3,25.5,23.6,32.8,,,,,,1.8000000000000007,,9.199999999999996
GBR,United Kingdom,WE,High Income,2018.0,6.5,6.4,6.6,6.3,6.6,,,,,,,,-0.2999999999999998,,
TZA,United Republic of Tanzania,ESA,Lower Middle Income,2022.0,3.6,3.1,4.2,3.7,3.5,3.5,3.7,3.2,4.1,4.0,3.2,3.7,0.20000000000000018,-0.5,0.20000000000000018
USA,United States,NA ,High Income,2018.0,9.4,7.1,12.2,12.8,5.7,,,,,,,,7.1000000000000005,,
URY,Uruguay,LAC,High Income,2018.0,11.4,10.2,12.7,11.0,11.8,,,,,,,,-0.8000000000000007,,
UZB,Uzbekistan,EECA,Lower Middle Income,2021.0,4.5,3.9,5.2,5.2,3.7,4.6,4.4,4.1,4.2,5.8,4.3,4.0,1.5,0.09999999999999964,-0.1999999999999993
VUT,Vanuatu,EAP,Lower Middle Income,2013.0,4.9,3.7,6.6,5.2,4.7,7.3,4.2,5.2,3.7,4.9,4.4,7.4,0.5,-2.2,-3.0999999999999996
