ISO,country,unicef_region,income_group,data_year,wasting_national,wasting_national_ll,wasting_national_ul,wasting_male,wasting_female,wasting_urban,wasting_rural,wasting_Q1_poorest,wasting_Q2,wasting_Q3,wasting_Q4,wasting_Q5_richest,wasting_gender_gap,wasting_wealth_gap,wasting_urban_rural_gap
SLB,Solomon Islands,EAP,Lower Middle Income,2015.0,8.5,7.2,10.0,8.4,8.5,6.3,8.9,10.6,7.7,8.0,7.5,8.0,-0.09999999999999964,2.5999999999999996,2.6000000000000005
SOM,Somalia,ESA,Low Income,2009.0,14.3,12.2,16.7,15.9,12.6,11.8,15.0,,,,,,3.3000000000000007,,3.1999999999999993
ZAF,South Africa,ESA,Upper Middle Income,2017.0,3.6,,,,,,,,,,,,,,
SSD,South Sudan,ESA,Low Income,2010.0,22.7,21.1,24.5,25.7,19.7,18.1,24.2,28.5,27.9,21.6,20.3,16.1,6.0,12.399999999999999,6.099999999999998
LKA,Sri Lanka,SA,Lower Middle Income,2024.0,9.3,,,,,,,,,,,,,,
PSE,State of Palestine,MENA,Lower Middle Income,2020.0,1.3,1.0,1.7,1.3,1.3,1.3,1.3,1.0,1.0,1.2,1.9,1.8,0.0,-0.8,0.0
SDN,Sudan,ESA,Low Income,2014.0,16.3,15.2,17.4,16.9,15.7,13.4,17.4,20.1,17.8,15.4,15.4,11.7,1.1999999999999993,8.400000000000002,3.9999999999999982
SUR,Suriname,LAC,Upper Middle Income,2018.0,5.5,4.5,6.8,6.2,4.8,6.3,5.5,3.6,6.2,6.4,6.6,6.8,1.4000000000000004,-3.1999999999999997,-0.7999999999999998
SYR,Syrian Arab Republic,MENA,Low Income,2010.0,11.5,10.7,12.4,12.5,10.5,11.7,11.4,12.6,10.2,11.9,11.6,11.2,2.0,1.4000000000000004,-0.29999999999999893
TJK,Tajikistan,EECA,Lower Middle Income,2023.0,6.4,,,6.9,5.8,,,,,,,,1.1000000000000005,,
THA,Thailand,EAP,Upper Middle Income,2022.0,7.2,6.1,8.4,7.8,6.5,8.1,6.6,8.3,7.1,7.7,6.7,5.7,1.2999999999999998,2.6000000000000005,-1.5
TLS,Timor-Leste,EAP,Lower Middle Income,2020.0,8.3,7.7,9.0,9.9,6.6,9.6,7.6,7.3,7.1,10.3,8.9,9.4,3.3000000000000007,-2.1000000000000005,-2.0
TGO,Togo,WCA,Low Income,2017.0,5.7,5.0,6.6,6.2,5.3,5.5,5.8,7.2,6.5,4.5,6.0,4.0,0.9000000000000004,3.2,0.2999999999999998
