ISO,country,unicef_region,income_group,data_year,stunting_national,stunting_national_ll,stunting_national_ul,stunting_male,stunting_female,stunting_urban,stunting_rural,stunting_Q1_poorest,stunting_Q2,stunting_Q3,stunting_Q4,stunting_Q5_richest,stunting_gender_gap,stunting_wealth_gap,stunting_urban_rural_gap
JAM,Jamaica,LAC,Upper Middle Income,2018.0,4.6,3.1,6.8,7.0,2.3,4.4,5.0,,,,,,4.7,,0.5999999999999996
JPN,Japan,EAP,High Income,2010.0,7.1,,,7.6,6.5,,,,,,,,1.0999999999999996,,
JOR,Jordan,MENA,Lower Middle Income,2023.0,8.2,7.1,9.6,7.6,8.9,8.2,8.8,11.8,7.3,6.8,5.5,8.2,-1.3000000000000007,3.6000000000000014,0.6000000000000014
KAZ,Kazakhstan,EECA,Upper Middle Income,2015.0,8.0,7.0,9.2,7.7,8.3,7.2,8.9,10.3,8.1,8.3,6.9,6.2,-0.6000000000000005,4.1000000000000005,1.7000000000000002
KEN,Kenya,ESA,Lower Middle Income,2022.0,17.6,16.8,18.4,19.6,15.6,12.1,20.3,27.6,21.5,16.2,11.6,8.7,4.000000000000002,18.900000000000002,8.200000000000001
KIR,Kiribati,EAP,Lower Middle Income,2018.0,15.2,13.5,17.1,16.4,14.0,14.0,16.5,18.8,19.0,16.8,11.2,9.0,2.3999999999999986,9.8,2.5
KWT,Kuwait,MENA,High Income,2023.0,3.2,2.6,3.9,3.8,2.6,,,,,,,,1.1999999999999997,,
KGZ,Kyrgyzstan,EECA,Lower Middle Income,2023.0,14.1,12.4,16.0,15.0,13.3,13.0,14.6,16.5,15.6,12.6,12.3,12.4,1.6999999999999993,4.1,1.5999999999999996
LAO,Lao People's Democratic Republic,EAP,Lower Middle Income,2023.0,32.8,,,34.6,31.0,,,,,,,,3.6000000000000014,,
LVA,Latvia,WE,High Income,2021.0,0.5,0.1,3.6,1.0,0.0,0.0,1.2,,,,,,1.0,,1.2
LBN,Lebanon,MENA,Lower Middle Income,2023.0,13.9,,,17.2,10.3,,,,,,,,6.899999999999999,,
LSO,Lesotho,ESA,Lower Middle Income,2024.0,35.6,32.6,38.6,38.3,32.5,29.1,38.8,,,,,,5.799999999999997,,9.699999999999996
LBR,Liberia,WCA,Low Income,2019.0,29.8,27.3,32.5,31.8,27.9,25.0,35.1,37.9,34.7,31.3,24.3,13.6,3.900000000000002,24.299999999999997,10.100000000000001
LBY,Libya,MENA,Upper Middle Income,2022.0,7.9,7.1,8.8,9.1,6.8,,,,,,,,2.3,,
LTU,Lithuania,WE,High Income,2023.0,1.0,1.0,1.1,1.1,1.0,,,,,,,,0.10000000000000009,,
MDG,Madagascar,ESA,Low Income,2021.0,39.8,38.0,41.7,43.6,36.1,35.5,40.6,42.8,43.4,40.1,39.4,30.0,7.5,12.799999999999997,5.100000000000001
MWI,Malawi,ESA,Low Income,2020.0,34.9,32.4,37.5,37.4,32.4,,,,,,,,5.0,,
MYS,Malaysia,EAP,Upper Middle Income,2022.0,21.2,20.0,22.6,21.8,20.6,20.2,23.8,,,,,,1.1999999999999993,,3.6000000000000014
MDV,Maldives,SA,Upper Middle Income,2017.0,15.3,13.5,17.2,16.3,14.2,13.2,16.1,17.5,16.0,14.6,11.3,16.4,2.1000000000000014,1.1000000000000014,2.900000000000002
MLI,Mali,WCA,Low Income,2024.0,25.1,,,26.7,23.6,,,,,,,,3.099999999999998,,
MLT,Malta,WE,High Income,2022.0,3.3,2.4,4.4,2.9,3.6,,,,,,,,-0.7000000000000002,,
MHL,Marshall Islands,EAP,Upper Middle Income,2017.0,34.8,30.6,39.2,39.3,30.0,34.0,38.7,44.2,41.2,37.0,28.4,20.0,9.299999999999997,24.200000000000003,4.700000000000003
MRT,Mauritania,WCA,Lower Middle Income,2022.0,25.1,25.0,25.2,27.6,22.5,20.1,31.3,,,,,,5.100000000000001,,11.2
MUS,Mauritius,ESA,Upper Middle Income,1995.0,13.6,,,,,,,,,,,,,,
MEX,Mexico,LAC,Upper Middle Income,2022.0,12.5,10.3,15.1,11.5,13.5,12.4,12.7,,,,,,-2.0,,0.29999999999999893
MNG,Mongolia,EAP,Upper Middle Income,2023.0,8.8,,,,,,,,,,,,,,
MNE,Montenegro,EECA,Upper Middle Income,2018.0,7.2,3.5,14.2,6.2,8.5,8.7,4.0,9.7,12.9,1.9,4.4,9.3,-2.3,0.3999999999999986,-4.699999999999999
MAR,Morocco,MENA,Lower Middle Income,2019.0,14.2,,,14.9,13.7,9.9,20.8,,,,,,1.200000000000001,,10.9
