ISO,country,year,sdg_region,unicef_reporting_region,wat_bas_nat,wat_lim_nat,wat_none_nat,san_bas_nat,san_lim_nat,san_none_nat,hyg_bas_nat,hyg_lim_nat,hyg_none_nat
NAM,Namibia,2023,Sub-Saharan Africa,Sub-Saharan Africa,,,,,,35.06161034806337,,,
NRU,Nauru,2023,Oceania,East Asia and Pacific,99.5,0.5,0.5,99.5,0.5,0.5,90.01715420729505,9.98284579270495,0.5
NPL,Nepal,2023,Central and Southern Asia,South Asia,55.43821841531189,23.58674159977528,20.97503998491283,38.97259071487824,40.1194771058474,20.90793217927435,41.61082750824517,,
NLD,Netherlands (Kingdom of the),2023,Europe and Northern America,Europe and Central Asia,99.5,0.5,0.5,99.5,0.5,0.5,99.5,0.5,0.5
NIC,Nicaragua,2023,Latin America and the Caribbean,Latin America and Caribbean,53.26918871637875,7.933963320700713,38.79684796292054,28.53851292189094,,,,,
NER,Niger,2023,Sub-Saharan Africa,Sub-Saharan Africa,,,74.54700705476012,25.39052333333333,17.33741042015541,57.27206624651126,41.76970499657957,0.5,58.23029500342043
NGA,Nigeria,2023,Sub-Saharan Africa,Sub-Saharan Africa,35.61903666666667,24.71512232843161,39.66584100490172,42.92257244604298,13.88478152454536,43.19264602941166,23.60196666666667,11.68446333333334,64.71357
NIU,Niue,2023,Oceania,East Asia and Pacific,99.5,0.5,0.5,99.5,0.5,0.5,99.5,0.5,0.5
NOR,Norway,2023,Europe and Northern America,Europe and Central Asia,99.5,0.5,0.5,99.5,0.5,0.5,99.5,0.5,0.5
OMN,Oman,2023,Northern Africa and Western Asia,Middle East and North Africa,99.5,0.5,0.5,99.5,0.5,0.5,99.5,0.5,0.5
PAK,Pakistan,2023,Central and Southern Asia,South Asia,35.4877103429626,38.3989093371174,26.11338031992,41.5894093733298,39.24224786260058,19.16834276406962,,,
PLW,Palau,2023,Oceania,East Asia and Pacific,89.26250500864754,10.73749499135246,0.5,89.26250500864754,10.73749499135246,0.5,83.33333333333334,0.5,16.66666666666666
PAN,Panama,2023,Latin America and the Caribbean,Latin America and Caribbean,59.68880592347341,23.899083962247,16.41211011427959,23.91082814341284,56.21635910055337,19.8728127560338,23.81188330587204,33.67430921941818,42.51380747470978
PNG,Papua New Guinea,2023,Oceania,East Asia and Pacific,46.83280137490793,6.434352989343125,46.73284563574894,46.38179,12.00309,41.61512,11.66784666666667,42.75544333333333,45.57671
PRY,Paraguay,2023,Latin America and the Caribbean,Latin America and Caribbean,,,0.5,94.1009832812033,,,,,
PER,Peru,2023,Latin America and the Caribbean,Latin America and Caribbean,73.6652025826204,14.28342542397968,12.05137199339993,92.88564401864642,3.332978413171759,3.781377568181824,,,23.05259777272749
PHL,Philippines,2023,Eastern and South-Eastern Asia,East Asia and Pacific,46.26523707653769,34.28897396620823,19.44578895725408,84.79074118774588,,,73.03860629036853,12.2908420053368,14.67055170429467
POL,Poland,2023,Europe and Northern America,Europe and Central Asia,99.5,0.5,0.5,99.5,0.5,0.5,99.5,0.5,0.5
PRT,Portugal,2023,Europe and Northern America,Europe and Central Asia,99.5,0.5,0.5,99.5,0.5,0.5,99.5,0.5,0.5
QAT,Qatar,2023,Northern Africa and Western Asia,Middle East and North Africa,99.5,0.5,0.5,99.5,0.5,0.5,99.5,0.5,0.5
KOR,Republic of Korea,2023,Eastern and South-Eastern Asia,East Asia and Pacific,99.5,0.5,0.5,99.5,0.5,0.5,99.5,0.5,0.5
MDA,Republic of Moldova,2023,Europe and Northern America,Europe and Central Asia,93.8043301613734,5.952132302085829,0.5,90.22000000000025,4.566324786324543,5.213675213675202,99.5,0.5,0.5
ROU,Romania,2023,Europe and Northern America,Europe and Central Asia,93.876666666667,,,90.82333333333372,,,90.82333333333372,,
RUS,Russian Federation,2023,Europe and Northern America,Europe and Central Asia,,,2.839900662251665,,,0.5,,,
RWA,Rwanda,2023,Sub-Saharan Africa,Sub-Saharan Africa,54.05117776352745,,,69.60460669864894,19.537529932222,10.85786336912906,,,0.5
